order_id,order_date,product_id,product_category,price,discount_percent,quantity_sold,customer_region,payment_method,rating,review_count,discounted_price,total_revenue
44,2023-05-20,5018,Sports,171.82,30,6,South America,Debit Card,4.1,112,120.27,721.62
45,2022-05-11,2970,Fashion,453.97,20,10,Europe,Debit Card,3.6,274,363.18,3631.8
46,2023-04-30,9389,Beauty,140.67,5,9,North America,Net Banking,2.9,407,133.64,1202.76
47,2023-10-09,6765,Sports,365.18,15,7,Asia,PayPal,3.3,373,310.4,2172.8
48,2022-01-21,2202,Home,440.05,10,9,South America,Credit Card,1.2,597,396.04,3564.36
49,2022-06-16,9135,Books,30.41,30,5,North America,PayPal,3.5,651,21.29,106.45
50,2022-10-01,6567,Electronics,204.85,15,7,Asia,Credit Card,3.5,39,174.12,1218.84
51,2023-01-23,8667,Electronics,383.53,15,7,North America,Credit Card,4.6,105,326.0,2282.0
52,2023-08-24,6742,Fashion,232.91,15,3,Asia,Debit Card,3.0,324,197.97,593.91
53,2022-11-12,6788,Books,140.95,5,7,Europe,Net Banking,1.3,793,133.9,937.3
54,2022-01-14,6408,Sports,117.7,5,1,Europe,Credit Card,2.2,959,111.82,111.82
55,2022-08-30,9669,Books,74.44,10,9,South America,UPI,3.6,992,67.0,603.0
56,2022-12-12,1922,Electronics,429.99,25,10,Europe,Credit Card,2.0,414,322.49,3224.9
57,2023-07-19,1419,Beauty,291.92,25,6,Asia,PayPal,2.1,429,218.94,1313.64
58,2022-12-06,3204,Sports,47.43,25,5,Europe,Debit Card,4.3,635,35.57,177.85
59,2022-04-02,2120,Fashion,197.46,30,7,Europe,UPI,3.3,730,138.22,967.54
60,2023-01-02,1950,Sports,190.19,30,5,Asia,Credit Card,3.0,889,133.13,665.65
61,2023-03-31,3336,Books,99.05,10,10,North America,PayPal,2.3,61,89.14,891.4
62,2023-03-04,6373,Books,223.4,30,5,Europe,Net Banking,3.9,612,156.38,781.9
63,2023-05-24,3243,Home,172.73,25,10,North America,UPI,2.2,307,129.55,1295.5
64,2022-02-04,3645,Electronics,177.48,25,7,Asia,Debit Card,3.9,354,133.11,931.77
65,2022-07-25,5612,Electronics,372.12,15,10,Africa,Net Banking,1.3,393,316.3,3163.0
66,2022-03-22,2865,Electronics,119.4,30,7,Oceania,Credit Card,4.5,204,83.58,585.06
67,2023-07-16,7028,Fashion,324.51,5,3,Europe,PayPal,3.0,258,308.28,924.84
68,2023-01-23,8326,Fashion,289.62,5,3,Europe,PayPal,2.8,486,275.14,825.42
69,2022-01-02,7371,Electronics,288.37,15,10,Europe,Credit Card,3.4,517,245.11,2451.1
70,2023-01-25,7359,Sports,334.87,15,3,South America,Debit Card,3.5,446,284.64,853.92
71,2023-07-20,8863,Home,278.71,15,6,North America,Credit Card,1.5,709,236.9,1421.4
72,2022-04-16,4228,Fashion,440.84,5,6,Oceania,UPI,4.0,180,418.8,2512.8
73,2023-04-22,4719,Electronics,341.03,25,3,Europe,UPI,2.1,342,255.77,767.31
74,2023-12-04,3371,Fashion,278.01,15,3,Oceania,Credit Card,4.6,133,236.31,708.93
75,2023-02-06,3891,Books,416.58,10,8,South America,Debit Card,4.3,443,374.92,2999.36
76,2023-12-31,4756,Sports,307.01,15,8,South America,Credit Card,2.4,836,260.96,2087.68
77,2023-07-10,5225,Fashion,152.66,20,7,Europe,Debit Card,4.2,253,122.13,854.91
78,2022-06-11,1094,Fashion,111.48,15,10,North America,Credit Card,2.4,265,94.76,947.6
79,2022-07-21,3674,Home,84.64,5,4,Europe,PayPal,1.4,93,80.41,321.64
80,2022-09-27,7898,Home,450.73,30,4,Europe,Credit Card,4.8,662,315.51,1262.04
81,2022-09-28,1793,Home,357.97,15,3,North America,PayPal,3.6,411,304.27,912.81
82,2023-04-01,3116,Fashion,469.32,30,5,Asia,UPI,2.8,138,328.52,1642.6
83,2023-04-07,6779,Fashion,305.61,20,3,Europe,Credit Card,2.6,208,244.49,733.47
84,2023-12-28,7166,Fashion,241.97,10,8,Asia,PayPal,2.3,637,217.77,1742.16
85,2022-09-09,1814,Fashion,39.26,30,7,Asia,Debit Card,4.9,746,27.48,192.36
86,2023-12-03,1345,Home,339.1,25,3,North America,Debit Card,1.5,573,254.32,762.96
87,2022-10-23,9554,Sports,295.28,15,9,Oceania,Credit Card,2.3,307,250.99,2258.91
88,2023-12-26,3443,Home,495.2,20,5,North America,Debit Card,2.9,266,396.16,1980.8
89,2023-12-21,8783,Sports,127.19,20,9,Europe,Credit Card,2.9,646,101.75,915.75
90,2022-12-04,1984,Electronics,270.06,30,7,Europe,Credit Card,2.9,318,189.04,1323.28
91,2022-02-22,8790,Home,328.97,10,7,South America,Debit Card,1.7,113,296.07,2072.49
92,2022-08-05,1827,Electronics,325.85,5,6,North America,Credit Card,1.6,901,309.56,1857.36
93,2022-07-07,4531,Electronics,285.03,15,2,Europe,Credit Card,2.0,378,242.28,484.56
94,2023-01-15,8147,Electronics,390.69,20,9,Asia,Credit Card,4.7,454,312.55,2812.95
95,2023-05-08,5451,Fashion,110.44,10,6,North America,Credit Card,1.5,191,99.4,596.4
96,2022-02-10,4876,Electronics,365.56,25,8,Asia,Credit Card,4.0,891,274.17,2193.36
97,2022-06-06,6959,Beauty,313.67,20,1,Africa,Net Banking,4.0,440,250.94,250.94
98,2022-01-15,1126,Fashion,449.08,10,5,Oceania,Credit Card,4.2,187,404.17,2020.85
99,2022-03-06,4177,Books,425.13,5,1,North America,UPI,4.5,831,403.87,403.87
100,2023-06-05,9795,Electronics,164.42,5,10,North America,Credit Card,2.1,367,156.2,1562.0
101,2022-12-10,7024,Sports,145.36,20,8,Europe,Net Banking,1.9,89,116.29,930.32
102,2022-05-09,6109,Electronics,491.01,20,8,Europe,Credit Card,2.9,187,392.81,3142.48
103,2023-10-10,5146,Home,268.36,30,1,North America,Net Banking,2.1,819,187.85,187.85
104,2023-04-17,8196,Fashion,454.15,15,9,North America,UPI,3.9,946,386.03,3474.27
105,2022-03-04,4368,Home,90.3,10,2,Oceania,Credit Card,3.5,132,81.27,162.54
106,2022-05-19,4797,Fashion,324.98,20,9,Africa,PayPal,4.5,872,259.98,2339.82
107,2023-05-14,2792,Sports,406.83,15,1,North America,Debit Card,1.3,635,345.81,345.81
108,2023-08-16,6732,Home,474.22,30,10,Europe,Credit Card,4.7,560,331.95,3319.5
109,2023-01-27,4476,Fashion,175.3,15,9,Europe,PayPal,2.2,800,149.0,1341.0
110,2023-11-06,4417,Books,365.24,20,4,North America,Net Banking,3.0,376,292.19,1168.76
111,2023-02-23,2645,Books,274.02,5,9,Asia,Debit Card,2.8,691,260.32,2342.88
112,2022-10-16,4030,Electronics,39.71,10,7,Asia,Credit Card,4.0,692,35.74,250.18
113,2023-01-14,3872,Fashion,348.1,10,6,South America,PayPal,2.7,99,313.29,1879.74
114,2023-05-05,4072,Home,348.15,5,5,Asia,UPI,4.8,842,330.74,1653.7
115,2022-08-19,2854,Electronics,466.0,20,9,Asia,PayPal,4.6,34,372.8,3355.2
116,2022-02-10,5021,Fashion,253.68,10,2,Asia,UPI,4.5,932,228.31,456.62
117,2022-01-28,5662,Books,122.82,20,2,Europe,Credit Card,1.3,582,98.26,196.52
118,2022-05-15,7514,Books,31.84,30,9,Asia,Net Banking,4.4,171,22.29,200.61
119,2022-07-20,6031,Sports,213.66,20,3,Europe,Credit Card,4.1,366,170.93,512.79
120,2022-02-02,3708,Fashion,157.94,15,8,North America,Credit Card,1.4,784,134.25,1074.0
121,2022-02-17,8112,Home,382.93,5,9,North America,Debit Card,1.4,59,363.78,3274.02
122,2023-05-18,9393,Sports,183.59,20,8,Europe,UPI,1.4,181,146.87,1174.96
123,2023-02-11,4507,Home,475.04,30,4,Africa,Credit Card,1.0,19,332.53,1330.12
124,2023-07-28,7456,Sports,481.53,25,1,North America,PayPal,3.2,226,361.15,361.15
125,2023-12-29,5212,Electronics,314.25,5,4,Europe,Debit Card,4.9,473,298.54,1194.16
126,2022-04-09,8970,Beauty,465.04,10,9,Europe,Debit Card,2.8,95,418.54,3766.86
127,2023-11-15,9766,Books,382.82,15,2,Asia,PayPal,3.2,881,325.4,650.8
128,2023-12-27,1536,Books,277.96,10,3,North America,Debit Card,4.9,297,250.16,750.48
129,2023-07-01,2625,Home,98.35,30,10,Oceania,Credit Card,2.0,593,68.84,688.4
130,2023-09-05,8973,Beauty,234.71,30,8,South America,Credit Card,4.4,175,164.3,1314.4
131,2023-04-07,9577,Sports,284.83,10,6,Asia,Net Banking,3.2,222,256.35,1538.1
132,2023-10-05,9070,Books,433.34,5,8,Asia,Credit Card,3.3,615,411.67,3293.36
133,2022-01-05,9666,Fashion,245.85,10,7,North America,Debit Card,2.4,54,221.26,1548.82
134,2022-08-06,9609,Beauty,449.86,20,5,Europe,Debit Card,3.2,695,359.89,1799.45
135,2023-05-18,7490,Fashion,340.43,10,9,Asia,Debit Card,1.3,863,306.39,2757.51
136,2023-02-02,4600,Sports,77.13,15,4,North America,Credit Card,4.1,403,65.56,262.24
137,2023-01-28,7783,Sports,497.54,15,6,Europe,Debit Card,2.1,318,422.91,2537.46
138,2022-07-26,5971,Electronics,268.34,25,2,Asia,Debit Card,4.6,867,201.26,402.52
139,2022-01-15,2205,Electronics,202.01,15,2,Europe,Net Banking,2.5,349,171.71,343.42
140,2023-07-08,2990,Electronics,332.97,10,2,Africa,Credit Card,1.6,443,299.67,599.34
141,2023-04-06,6299,Fashion,63.36,15,10,North America,Debit Card,3.8,833,53.86,538.6
142,2023-11-22,4572,Sports,321.9,5,7,Asia,Debit Card,1.7,580,305.8,2140.6
143,2023-07-29,6975,Electronics,254.14,15,2,Asia,Debit Card,4.0,540,216.02,432.04
144,2022-08-29,7320,Sports,209.27,20,2,Asia,UPI,4.9,786,167.42,334.84
145,2023-07-18,5380,Books,476.98,5,9,Europe,Credit Card,4.1,282,453.13,4078.17
146,2022-04-06,5757,Beauty,266.04,25,7,Asia,Credit Card,1.1,360,199.53,1396.71
147,2023-04-30,3713,Electronics,117.37,20,3,South America,PayPal,3.4,915,93.9,281.7
148,2023-02-11,6588,Books,234.89,10,3,Europe,Debit Card,3.8,823,211.4,634.2
149,2022-08-19,1966,Books,460.5,10,7,Europe,Debit Card,4.3,631,414.45,2901.15
150,2023-10-17,5944,Home,96.29,10,5,Asia,Credit Card,1.2,892,86.66,433.3
151,2022-06-20,4432,Home,114.84,20,10,Asia,Credit Card,2.9,953,91.87,918.7
152,2023-06-25,1688,Sports,16.38,20,6,Europe,Credit Card,3.1,646,13.1,78.6
153,2022-02-05,5243,Books,16.95,20,8,Africa,Credit Card,1.7,641,13.56,108.48
154,2023-06-09,4701,Books,416.4,5,9,Europe,UPI,2.3,8,395.58,3560.22
155,2022-06-09,9533,Electronics,368.74,30,1,Europe,PayPal,2.8,993,258.12,258.12
156,2023-11-30,6182,Electronics,183.97,5,3,Asia,Credit Card,4.3,563,174.77,524.31
157,2022-08-31,7704,Electronics,352.17,10,7,Asia,Credit Card,4.7,491,316.95,2218.65
158,2022-03-27,5422,Beauty,203.65,30,6,South America,Credit Card,3.5,341,142.56,855.36
159,2023-08-01,2759,Beauty,476.92,15,7,Oceania,Debit Card,2.6,472,405.38,2837.66
160,2023-11-13,3482,Beauty,483.86,10,8,Europe,Credit Card,2.0,793,435.47,3483.76
161,2023-07-11,9058,Sports,202.47,25,6,North America,Net Banking,4.9,687,151.85,911.1
162,2023-07-28,1951,Electronics,428.57,5,3,North America,UPI,4.9,695,407.14,1221.42
163,2023-10-08,9914,Electronics,388.81,20,2,Asia,Net Banking,4.7,704,311.05,622.1
164,2022-01-28,3079,Electronics,161.9,5,7,South America,PayPal,4.1,249,153.8,1076.6
165,2023-09-12,3717,Sports,123.7,20,1,North America,Debit Card,2.3,235,98.96,98.96
166,2023-07-10,5524,Books,234.53,30,3,North America,Debit Card,4.3,83,164.17,492.51
167,2022-12-06,9477,Electronics,392.86,25,4,North America,Credit Card,2.6,93,294.64,1178.56
168,2022-11-27,8311,Books,480.48,30,1,South America,Debit Card,2.3,885,336.34,336.34
169,2023-10-02,8186,Electronics,384.15,25,5,Europe,Net Banking,4.0,394,288.11,1440.55
170,2023-05-21,3065,Sports,429.05,5,10,Europe,Credit Card,1.3,824,407.6,4076.0
171,2022-12-14,1768,Sports,305.5,20,3,Asia,PayPal,1.2,268,244.4,733.2
172,2023-04-18,6490,Fashion,419.35,30,2,South America,Credit Card,2.8,417,293.54,587.08
173,2022-08-19,7645,Beauty,394.37,25,3,Asia,PayPal,2.8,632,295.78,887.34
174,2022-07-09,6083,Home,194.72,10,8,Asia,Net Banking,4.6,583,175.25,1402.0
175,2022-08-13,6232,Books,280.48,10,6,North America,UPI,1.5,529,252.43,1514.58
176,2023-01-20,6797,Fashion,404.33,30,7,Asia,UPI,1.5,253,283.03,1981.21
177,2023-01-12,5926,Fashion,32.57,20,6,Asia,Debit Card,1.6,957,26.06,156.36
178,2022-10-10,7016,Books,405.96,30,6,Oceania,PayPal,1.1,122,284.17,1705.02
179,2023-09-25,4335,Beauty,97.17,5,3,North America,Net Banking,1.3,892,92.31,276.93
180,2023-09-20,9038,Electronics,262.19,25,8,North America,PayPal,3.6,10,196.64,1573.12
181,2022-09-16,5873,Sports,406.05,5,7,North America,UPI,2.7,799,385.75,2700.25
182,2022-12-25,2481,Fashion,134.37,10,7,Europe,UPI,4.1,316,120.93,846.51
183,2023-12-11,7305,Books,130.45,25,6,South America,PayPal,5.0,838,97.84,587.04
184,2023-04-01,4451,Electronics,207.35,30,5,North America,Debit Card,3.6,273,145.14,725.7
185,2023-02-15,1054,Books,448.37,5,10,Europe,PayPal,1.2,306,425.95,4259.5
186,2023-10-11,8643,Electronics,10.22,15,8,Europe,Debit Card,1.4,805,8.69,69.52
187,2022-11-14,4462,Beauty,451.68,20,5,North America,Credit Card,4.5,210,361.34,1806.7
188,2023-11-08,1832,Electronics,85.37,20,9,Europe,Debit Card,3.1,958,68.3,614.7
189,2022-08-13,6954,Home,495.14,15,9,Europe,Debit Card,4.3,730,420.87,3787.83
190,2022-08-22,9519,Fashion,477.88,10,1,Europe,Credit Card,4.4,753,430.09,430.09
191,2023-11-15,8221,Books,252.39,25,6,Asia,Credit Card,4.7,886,189.29,1135.74
192,2023-10-26,4310,Books,261.23,20,7,Asia,Debit Card,4.8,464,208.98,1462.86
193,2023-01-09,4300,Electronics,245.96,15,3,North America,Credit Card,3.2,712,209.07,627.21
194,2023-11-03,7722,Books,321.37,30,7,Oceania,Credit Card,2.4,728,224.96,1574.72
195,2023-08-31,8218,Electronics,54.45,15,7,Asia,PayPal,4.8,717,46.28,323.96
196,2023-04-17,8776,Electronics,25.98,10,2,Asia,Net Banking,3.2,925,23.38,46.76
197,2022-08-21,4675,Electronics,38.27,10,7,North America,PayPal,1.3,416,34.44,241.08
198,2023-11-23,4054,Fashion,227.74,5,1,North America,Net Banking,3.6,216,216.35,216.35
199,2022-04-23,8970,Fashion,145.02,20,5,North America,UPI,3.4,80,116.02,580.1
200,2023-05-12,3143,Beauty,314.8,5,9,North America,Credit Card,4.6,779,299.06,2691.54
201,2023-03-18,6207,Home,496.3,15,7,Europe,UPI,3.6,480,421.86,2953.02
202,2023-07-18,3538,Electronics,199.3,25,7,Africa,PayPal,2.4,902,149.48,1046.36
203,2022-09-25,5547,Books,291.18,25,2,Europe,Debit Card,4.9,891,218.38,436.76
204,2023-05-25,6619,Beauty,213.65,10,8,Europe,Credit Card,4.2,547,192.28,1538.24
205,2023-01-21,9356,Home,425.16,25,3,Asia,PayPal,3.5,801,318.87,956.61
206,2023-01-22,7612,Fashion,452.1,25,8,North America,Credit Card,2.2,18,339.08,2712.64
207,2022-04-23,6005,Sports,439.9,25,3,Asia,UPI,2.5,165,329.92,989.76
208,2023-09-05,1822,Fashion,487.44,15,10,Asia,Credit Card,3.7,525,414.32,4143.2
209,2023-09-17,1943,Electronics,23.48,25,7,Asia,UPI,1.3,202,17.61,123.27
210,2022-03-22,7150,Home,421.51,30,2,Oceania,Debit Card,2.0,741,295.06,590.12
211,2023-11-30,5425,Fashion,378.37,25,4,Europe,Credit Card,3.9,346,283.78,1135.12
212,2022-04-23,9966,Beauty,122.06,25,6,Asia,Debit Card,2.9,366,91.54,549.24
213,2022-01-02,3198,Home,478.6,5,9,Africa,UPI,2.6,977,454.67,4092.03
214,2023-10-04,5242,Electronics,82.61,15,5,Asia,PayPal,1.6,448,70.22,351.1
215,2022-08-08,4695,Fashion,342.98,10,9,Europe,PayPal,2.8,513,308.68,2778.12
216,2023-07-20,4452,Books,120.2,5,5,Africa,Debit Card,4.1,319,114.19,570.95
217,2022-08-13,2308,Fashion,221.38,20,10,North America,PayPal,2.1,217,177.1,1771.0
218,2023-01-20,5177,Sports,362.39,15,8,Africa,Credit Card,1.0,34,308.03,2464.24
219,2023-02-07,9705,Fashion,286.03,30,1,North America,Credit Card,3.7,871,200.22,200.22
220,2023-09-30,7852,Electronics,219.48,15,7,Asia,Credit Card,4.9,266,186.56,1305.92
221,2022-05-10,7035,Home,169.91,20,4,South America,UPI,3.4,640,135.93,543.72
222,2022-02-22,4594,Books,421.43,20,5,Europe,Credit Card,1.5,724,337.14,1685.7
223,2023-11-15,5841,Home,80.47,20,6,Europe,Credit Card,2.3,775,64.38,386.28
224,2023-12-31,2409,Books,220.75,10,5,Europe,UPI,4.5,824,198.68,993.4
225,2023-11-03,5566,Beauty,452.84,25,1,Oceania,PayPal,1.9,80,339.63,339.63
226,2023-12-11,5491,Electronics,424.47,15,9,South America,Debit Card,3.4,677,360.8,3247.2
227,2023-02-20,2555,Fashion,206.46,25,2,Asia,Credit Card,2.6,413,154.84,309.68
228,2022-09-04,1804,Fashion,383.92,25,9,Asia,Debit Card,1.8,252,287.94,2591.46
229,2023-03-15,2279,Electronics,413.35,30,10,South America,Debit Card,4.3,12,289.34,2893.4
230,2022-07-22,8083,Sports,445.55,20,2,Europe,UPI,4.0,401,356.44,712.88
231,2022-07-03,6986,Home,276.81,10,9,Europe,Credit Card,3.6,816,249.13,2242.17
232,2022-05-03,6619,Home,110.19,30,6,Asia,UPI,1.9,724,77.13,462.78
233,2023-02-05,2387,Books,135.1,5,9,Europe,PayPal,1.4,282,128.34,1155.06
234,2022-10-21,3679,Fashion,154.89,10,6,North America,Credit Card,3.3,112,139.4,836.4
235,2022-10-07,3106,Books,300.96,25,6,North America,Net Banking,3.2,723,225.72,1354.32
236,2023-09-02,9173,Electronics,26.08,10,2,North America,Debit Card,1.8,378,23.47,46.94
237,2022-07-17,5223,Sports,321.66,20,8,South America,Credit Card,1.2,751,257.33,2058.64
238,2023-05-26,5831,Electronics,188.53,5,3,Europe,Debit Card,1.3,268,179.1,537.3
239,2022-05-24,3768,Fashion,154.67,20,7,Asia,Credit Card,5.0,917,123.74,866.18
240,2023-09-01,4186,Electronics,440.95,5,5,Europe,Credit Card,4.1,298,418.9,2094.5
241,2022-07-20,3573,Sports,235.4,30,3,Europe,Debit Card,4.7,317,164.78,494.34
242,2022-05-04,3599,Home,56.58,25,1,Europe,PayPal,1.8,570,42.44,42.44
243,2022-07-06,5033,Sports,415.11,5,8,Asia,Net Banking,4.8,509,394.35,3154.8
244,2022-11-22,9428,Fashion,33.34,5,3,Asia,UPI,1.6,950,31.67,95.01
245,2023-04-09,2304,Fashion,366.11,5,2,Africa,Credit Card,3.0,546,347.8,695.6
246,2022-12-15,8368,Sports,389.21,10,1,Asia,UPI,4.3,775,350.29,350.29
247,2023-10-22,6877,Home,182.78,30,4,Asia,UPI,2.4,365,127.95,511.8
248,2023-02-07,2301,Fashion,414.15,10,8,Asia,PayPal,2.7,547,372.74,2981.92
249,2022-12-12,3541,Home,262.67,25,3,Africa,PayPal,1.5,271,197.0,591.0
250,2023-05-26,3051,Sports,237.01,5,1,Asia,PayPal,1.5,961,225.16,225.16
251,2022-05-27,7809,Home,32.25,30,4,North America,Debit Card,3.5,474,22.58,90.32
252,2022-05-28,9633,Home,152.11,30,9,Asia,UPI,3.7,739,106.48,958.32
253,2023-12-12,9996,Electronics,466.19,15,1,Asia,Credit Card,4.1,537,396.26,396.26
254,2023-05-04,1074,Electronics,201.99,25,2,Asia,Net Banking,3.2,234,151.49,302.98
255,2023-10-02,7981,Electronics,277.88,30,9,North America,Credit Card,3.6,59,194.52,1750.68
256,2023-07-05,6475,Sports,270.69,5,2,South America,Credit Card,1.1,251,257.16,514.32
257,2022-12-04,9232,Sports,299.31,5,3,Oceania,Credit Card,1.6,847,284.34,853.02
258,2023-10-03,8184,Sports,40.05,30,7,North America,PayPal,4.9,86,28.03,196.21
259,2023-04-18,6796,Books,187.47,10,3,South America,Debit Card,1.3,763,168.72,506.16
260,2022-05-31,8141,Home,364.33,25,9,North America,Debit Card,3.7,390,273.25,2459.25
261,2023-02-19,2622,Sports,108.27,5,6,North America,Net Banking,1.7,180,102.86,617.16
262,2022-10-25,9041,Home,109.75,30,3,North America,Net Banking,3.9,719,76.82,230.46
263,2023-09-03,1341,Sports,14.94,5,9,North America,Credit Card,3.8,856,14.19,127.71
264,2022-09-20,3074,Sports,224.37,30,1,South America,Credit Card,1.9,149,157.06,157.06
265,2022-05-24,8992,Electronics,442.54,25,10,North America,PayPal,2.1,583,331.9,3319.0
266,2022-12-12,1645,Electronics,35.43,30,3,Europe,Net Banking,3.6,121,24.8,74.4
267,2023-09-16,5263,Books,103.65,15,1,North America,Debit Card,2.6,765,88.1,88.1
268,2023-07-26,9801,Electronics,161.94,30,2,Europe,UPI,1.8,605,113.36,226.72
269,2022-01-02,7136,Home,368.55,30,8,North America,Credit Card,3.9,256,257.98,2063.84
270,2022-10-31,9646,Sports,323.91,25,7,Asia,PayPal,1.6,766,242.93,1700.51
271,2022-09-11,3969,Fashion,213.81,30,2,North America,UPI,4.4,864,149.67,299.34
272,2023-10-14,4028,Books,381.94,25,2,South America,Debit Card,3.1,800,286.46,572.92
273,2023-03-29,8643,Home,308.72,15,9,South America,Credit Card,1.4,309,262.41,2361.69
274,2022-02-06,3681,Books,449.06,25,6,North America,Net Banking,3.8,59,336.8,2020.8
275,2022-06-09,4629,Fashion,410.83,5,5,South America,UPI,3.1,69,390.29,1951.45
276,2022-01-09,5225,Books,133.88,25,10,North America,Credit Card,2.2,446,100.41,1004.1
277,2022-08-21,4067,Fashion,143.0,15,6,North America,UPI,2.7,388,121.55,729.3
278,2022-04-09,6941,Fashion,71.42,20,9,North America,UPI,2.2,86,57.14,514.26
279,2023-10-21,2386,Electronics,175.11,30,7,Europe,Debit Card,2.1,786,122.58,858.06
280,2022-07-27,3866,Electronics,499.78,25,10,Asia,PayPal,1.7,227,374.84,3748.4
281,2022-05-11,5788,Sports,208.82,30,10,Asia,UPI,2.5,593,146.17,1461.7
282,2023-02-08,6490,Electronics,118.04,10,9,Europe,Net Banking,2.0,626,106.24,956.16
283,2022-06-01,5124,Home,383.62,5,4,Asia,Credit Card,3.7,184,364.44,1457.76
284,2022-02-23,9340,Books,275.81,5,2,North America,Credit Card,3.7,792,262.02,524.04
285,2022-04-30,4850,Fashion,83.3,10,8,Asia,Credit Card,3.0,322,74.97,599.76
286,2023-11-04,6415,Home,196.54,10,4,North America,UPI,4.1,909,176.89,707.56
287,2023-09-20,8679,Books,213.09,25,9,North America,UPI,4.4,318,159.82,1438.38
288,2023-08-10,7819,Electronics,379.38,10,4,North America,PayPal,3.3,566,341.44,1365.76
289,2023-09-17,9378,Electronics,20.13,20,8,North America,PayPal,3.5,399,16.1,128.8
290,2023-02-24,2333,Home,141.82,30,9,Asia,Debit Card,2.1,709,99.27,893.43
